0,1,2,3,4
0.0,1.0964143,-0.11959982,0.0,-0.71802115
0.14897805,0.0391306,0.0,0.032681994,0.0
0.0,0.82759213,0.0,0.0,-0.0043349266
0.0,0.27683902,-0.14708114,0.0008983016,0.0
0.0,-0.3123148,0.0,1.1555543,0.0
0.0,0.0,0.5360671,-0.7107456,0.0
0.0,0.96666706,0.0,0.0,0.0
-0.2902164,0.95787746,-0.51618236,0.0,0.0
0.0,0.0,-0.3057117,0.0,0.0
0.0,0.04658723,-0.10991824,0.0,0.3434493
0.0,-0.4675269,0.0,0.00016725063,1.3474176
-0.5302664,0.054089695,0.0,-2.0410166,3.144452
0.60559577,-0.8536757,0.39741108,0.0,0.0
0.012165725,2.2736678,0.0,0.0,-1.3106463
0.6977993,-0.2096349,-0.17980075,0.0,-0.20440704
-0.33790374,-0.5448346,0.0,-0.19351383,1.3980808
0.0,0.35520542,0.0,0.0,0.09831619
0.0,0.0,0.50802076,0.0,-0.66764826
-1.6170168,0.0,0.0,0.95687026,0.8671292
0.0,0.5352783,-0.61026096,-0.011802435,0.46099865
0.0,0.0,0.0,-0.7077221,0.74220514
-1.0916814,0.861884,-0.15985751,0.47985804,0.6406615
0.9587607,2.3363993,0.0,-2.338551,-0.007821143
-0.6880176,0.0,0.0,1.1919467,-0.43899357
0.0,0.0,-0.13265872,0.0,0.0
0.42083275,0.8008244,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.005093336,0.12041509,0.0,0.0,1.074625
-0.0984143,1.1602833,0.0,0.0,0.049406707
0.0,0.33674735,0.57090116,0.0071851015,-0.6801597
0.0,0.24893767,0.0,0.0,0.16368935
-1.5090646,0.44543123,1.6626658,-0.57384944,0.0
0.0,0.0,0.10957122,0.0,-0.82023567
0.0,0.5193291,0.0,0.0,0.0
0.0,0.0,-1.8573503,0.0,1.6979151
0.15189308,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08510375,0.0
0.0,-0.5815294,0.0,0.16790581,0.9988222
-1.4810691,2.3439138,0.0,0.0,0.0
-0.24679792,-0.50832784,2.9595468,-0.74427164,-1.5491556
0.0,0.053220928,0.16842178,0.0,-0.046574473
-1.3211799,0.34792387,0.0,1.1324921,0.700392
0.0,0.0,-0.42070794,0.0,0.0
0.0,0.0,-0.12419212,-0.56336,0.76677036
0.0,0.42704767,0.30849582,-0.6495051,0.0
-0.82305944,4.1374874,-3.3864377,-0.0081682205,0.0
-0.25488764,0.0,0.0,-0.14251223,0.61310244
2.4903193,-0.1237396,-0.3788911,-1.9484435,0.0
0.0,0.0,0.0,0.07224035,0.23432124
0.0,0.02056992,0.0,-0.016470134,1.2836375
-0.7186897,0.29247415,1.9133322,-1.6598272,0.0
0.0,0.0,0.0,0.18534231,0.0
0.0,0.0,0.0,1.064458,-1.054569
-0.014897108,0.6478331,0.0,0.19165039,0.0
0.0,1.3083236,-1.553785,0.044153035,0.0
0.0,0.9056587,-0.65854603,0.09828079,0.0
0.03244257,0.0,-0.06343818,0.0,0.0
-0.47710907,1.3182563,-1.2262595,0.0,0.0
0.7626773,0.0,0.0,0.0,0.0
0.0,0.0,0.17325294,-0.29095978,-0.1822648
0.0,-0.6773447,0.0,1.7082787,0.0
0.0,0.0,0.0,0.10566473,0.0
0.0,0.0067635775,0.0,0.68744695,0.0
0.6757665,0.05034527,0.0,0.0,0.0
0.30418932,0.039935738,-0.10662654,-0.0027185678,0.0
-0.5988441,-1.3904624,0.36573648,1.841015,0.0
0.0,0.03267345,0.0,0.42202663,0.0
-0.9202624,0.0,0.53686404,0.0,0.0
-1.004134,-0.97746736,-0.35401726,2.4335895,0.0
0.8268643,-0.97986495,-0.17017686,0.0,-0.0026788712
-0.3704968,1.2433202,0.0,0.0,0.0
-0.8123058,0.51483035,0.37760046,0.0,0.22185606
0.012213707,0.6488446,0.0,0.0,0.2717833
0.4614718,0.8292932,0.0,0.0010661781,0.0
1.2710519,0.0,-2.4012485,0.7551444,0.0
-0.009404123,0.0,0.0,0.33589283,0.0
0.0,0.0,-1.1370225,0.5458671,0.0
2.628486,0.0,0.0,-1.644246,-0.6806582
0.0,0.30891937,0.0,0.0,0.0
0.0,-0.31825173,0.0,0.6376929,0.6835432
0.007150203,0.0,-0.23603529,0.0,0.0
0.0,0.0,0.0,0.24487239,0.0
0.23280022,0.0,-0.31213176,0.0,0.0
0.0,0.6940893,0.0,0.0,0.0
-0.6788122,0.970235,-0.64957285,0.9039992,-0.72209144
0.0,0.52391225,0.0,0.0,0.0
0.19926314,0.0,-0.73346585,0.0,0.0
0.0,0.35051444,0.0,-0.51675284,1.0898063
0.09829351,1.1451344,0.0,0.0,-0.5382353
-0.36532205,0.0,1.1418194,-1.2456772,0.0
0.0,0.15602192,2.0003963,0.0,-1.9558021
0.0,0.0,-0.17225023,-0.047727227,0.0
-0.021794103,0.0,0.0,1.9566597,-1.1110442
0.0,0.9092778,-0.19443381,-1.00852,-0.0028764307
0.29186654,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.34571737,0.45208758
0.0,-0.63505334,-1.0568995,1.8203182,0.0
0.0,0.0,-0.59347653,-0.009740487,0.46664357
0.0,-2.2809792,0.0,1.6899896,1.3508341
1.6767138,0.07204008,0.0,0.0,-0.5781039
